0000034903,FEDERAL REALTY INVESTMENT TRUST,MD
0001048792,FELCOR EIGHT HOTELS LLC,TX
0001048789,FelCor Lodging LP,TX
0000923603,FelCor Lodging Trust Inc,TX
0001048793,FELCOR/CSS HOLDINGS LP,TX
0001048790,FELCOR/CSS HOTELS LLC,TX
0001048795,FELCOR/LAX HOLDINGS LP,TX
0001048791,FELCOR/LAX HOTELS LLC,TX
0001048794,FELCOR/ST PAUL HOLDINGS LP,TX
0001032462,"FF-TSY Holding CO II, LLC",FL
0001050892,FFP REAL ESTATE TRUST,TX
0001286320,FIDELITY DIVIDEND CAPITAL INC,
0001368075,Fidelity Property Income Trust,MA
0001271831,FIELDSTONE INVESTMENT CORP,MD
0001169635,FIRST AMERICAN STRATEGIC REAL ESTATE PORTFOLIO INC,MN
0001536256,First Capital Real Estate Trust Inc,NY
0000755200,FIRST COMMONWEALTH MORTGAGE TRUST,TX
0000726516,FIRST EQUITY PROPERTIES INC,TX
0001033128,FIRST INDUSTRIAL LP,IL
0000921825,FIRST INDUSTRIAL REALTY TRUST INC,IL
0001254595,FIRST POTOMAC REALTY TRUST,MD
0000036840,FIRST REAL ESTATE INVESTMENT TRUST OF NEW JERSEY,NJ
0001143834,FIRST REPUBLIC PREFERRED CAPITAL CORP,CA
0000926861,FIRST WASHINGTON REALTY TRUST INC,MD
0001011317,FLORDECO LTD,FL
0001647509,"Forest City Realty Trust, Inc.",OH
0001169879,FORSYTH CAPITAL MORTGAGE CORP,NC
0001237538,FOUNDATION CAPITAL PARTNER I LLLP,MS
0001237540,FOUNDATION CAPITAL PARTNER II LLLP,MS
0001126506,FOUNDATION CAPITAL RESOURCES INC,MS
0001650132,"Four Corners Property Trust, Inc.",CA
0000884180,FOUR SEASONS FUND II L P,VA
0001558536,Four Springs Capital Trust,NJ
0001466863,Foursquare Capital Corp,NY
0000908527,FRANCHISE FINANCE CORP OF AMERICA,AZ
0000866456,FRANKLIN ADVANTAGE REAL ESTATE INCOME FUND,CA
0000845613,FRANKLIN SELECT REALTY TRUST,CA
0001031316,FRANKLIN STREET PROPERTIES CORP /MA/,MA
0001502923,"Free & Clear Equity, Inc.",
0001000181,FREMONT FUND LTD PARTNERSHIP,IN
0001690536,"FS Credit Real Estate Income Trust, Inc.",PA
0001379075,FSP 50 South Tenth Street Corp,MA
